Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
1,Y,"Agrelius, T., J. L. Dudycha and J. T. Morris","Global DNA cytosine methylation variation in Spartina alterniflora at North Inlet, SC",Plos One,2018,13,e0203230,
2,Y,"Ahn, J., S. B. Franklin and V. Douhovnikoff",Epigenetic variation in clonal stands of aspen,Folia Geobotanica,2017,52,443-449,
3,Y,"Ali, M., K. Sugimoto, A. Ramadan and G.-i. Arimura",Memory of plant communications for priming anti-herbivore responses,Scientific Reports,2013,3,1872,
4,N,Analysis of the Functional Relevance of Epigenetic Chromatin Marks in the First Intron Associated with Specific Gene Expression Patterns,GENOME BIOLOGY AND EVOLUTION,"We previously showed that the first intron of genes exhibits several interesting characteristics not seen in other introns: 1) it is the longest intron on average in almost all eukaryotes, 2) it presents the highest number of conserved sites, and 3) it exhibits the highest density of regulatory chromatin marks. Here, we expand on our previous study by integrating various multiomics data, leading to further evidence supporting the functionality of sites in the first intron. We first show that trait-associated single-nucleotide polymorphisms (TASs) are significantly enriched in the first intron. We also show that within the first intron, the density of epigenetic chromatin signals is higher near TASs than in distant regions. Furthermore, the distribution of several chromatin regulatory marks is investigated in relation to gene expression specificity (i.e., housekeeping vs. tissue-specific expression), essentiality (essential genes vs. nonessential genes), and levels of gene expression; housekeeping genes or essential genes contain greater proportions of active chromatin marks than tissue-specific genes or nonessential genes, and highly expressed genes exhibit a greater density of chromatin regulatory marks than genes with low expression. Moreover, we observe that genes carrying multiple first-intron TASs interact with each other within a large protein-protein interaction network, ultimately connecting to the UBC protein, awell-established protein involved in ubiquitination. We believe that our results shed light on the functionality of first introns as a genomic entity involved in gene expression regulation.",2019,11,786-797,10.1093/gbe/evz033
5,N,Changes in Gene Expression and DNA Methylation of Evolutionarily Young AluY Repeats during Apoptosis of Human K562 Erythro-Myeloblastic Leukemia Cells,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,"Using a human K562 erythromyeloblastoid cell culture, we demonstrated changes in gene expression of Alu repeats, members of evolutionarily young AluY subfamilies (human mobile SINE elements), and in the DNA methylation level of AluYb8 during camptothecin (CAM)-induced apoptosis. The AluY-RNA level increased about 10 times 24 h and 20 times 48 h after exposure to CAM vs. proliferating cells. Using methylation-specific (MSP) PCR and high-resolution melting (HRM), we showed that the overall AluYb8-DNA methylation level remained intact throughout the apoptotic stages. Using DNA sequencing after bisulfite conversion, we established that at the CpG site, located in the A'-box of the AluYb8 gene promoter, the methylation level decreased significantly during different apoptotic stages. Apparently, it is reduced CpG methylation at the A'-box of the AluYb8 gene promoter, discovered in this work, that is one of the possible factors which account for increased expression of AluY repeats during K562 cell apoptosis. We assume that increased gene expression of evolutionarily young AluY repeats plays an important role in the implementation of the cellular apoptotic pathway.",2018,54,30-42,10.1134/S0022093018010040
6,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",Individual vaciation in size and fecundity is correlated with differences in global DNA Cytosine methylation in the perennial herb Helleborus foetidus (Ranunculaceae),American Journal of Botany,2014,101,1309-1313,
7,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",MSAP markers and global cytosine methylation in plants: a literature survey and comparative analysis for a wild-growing species,Molecular Ecology Resources,2016,16,80-90,10.1111/1755-0998.12426
8,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",Within-plant variation in seed size and inflorescence fecundity is associated with epigenetic mosaicism in the shrub Lavandula latifolia (Lamiaceae),Annals of Botany,2018,121,153-160,
9,N,Comparative Methylome Analyses Identify Epigenetic Regulatory Loci of Human Brain Evolution,MOLECULAR BIOLOGY AND EVOLUTION,"How do epigenetic modifications change across species and how do these modifications affect evolution? These are fundamental questions at the forefront of our evolutionary epigenomic understanding. Our previous work investigated human and chimpanzee brain methylomes, but it was limited by the lack of outgroup data which is critical for comparative (epi) genomic studies. Here, we compared whole genome DNA methylation maps from brains of humans, chimpanzees and also rhesus macaques (outgroup) to elucidate DNA methylation changes during human brain evolution. Moreover, we validated that our approach is highly robust by further examining 38 human-specific DMRs using targeted deep genomic and bisulfite sequencing in an independent panel of 37 individuals from five primate species. Our unbiased genome-scan identified human brain differentially methylated regions (DMRs), irrespective of their associations with annotated genes. Remarkably, over half of the newly identified DMRs locate in intergenic regions or gene bodies. Nevertheless, their regulatory potential is on par with those of promoter DMRs. An intriguing observation is that DMRs are enriched in active chromatin loops, suggesting human-specific evolutionary remodeling at a higher-order chromatin structure. These findings indicate that there is substantial reprogramming of epigenomic landscapes during human brain evolution involving noncoding regions.",2016,33,2947-2959,10.1093/molbev/msw176
10,N,Developmental stress and cranial hypostosis by epigenetic trait occurrence and distribution: An exploratory study on the Italian Neandertals,JOURNAL OF HUMAN EVOLUTION,"The occurrence and distribution of 35 cranial epigenetic traits in the Italian Neandertals (Saccopastore 1 and 2, Gualtari 1) were examined according to morpho-functional cranial regions and with respect to a distinction between hypostosis (i.e., weak osseous development, arrested morphogenesis, retention of infantile features) and hyperostosis (i.e. excess of ossification, not reaching the pathological condition); The results, expressed as hypostotic scores, showed higher levels of hypostosis in these Neandertal specimens than in recent European samples. The highest expressions of hypostotis were observed in those regions of the Neandertal cranium where disequilibrium between skeletal and cerebral growth factors was expected. These results-interpreted as expression of developmental stress-are consistent with a heterochronic interpretation of the development of the Neandertal cranium; namely, a faster ossification of the cranial vault relative to brain growth rates. (C) 1996 Academic Press Limited.",1996,30,511-527,10.1006/jhev.1996.0040
11,N,Differences in DNA Methylation Patterns and Expression of the CCRK Gene in Human and Nonhuman Primate Cortices,MOLECULAR BIOLOGY AND EVOLUTION,"Changes in DNA methylation patterns during embryo development and differentiation processes are linked to the transcriptional plasticity of our genome. However, little is known about the evolutionary conservation of DNA methylation patterns and the evolutionary impact of epigenetic differences between closely related species. Here we compared the methylation patterns of CpG islands (CGIs) in the promoter regions of seven genes in humans and chimpanzees. We identified a block of CpGs in the cell cycle-related kinase (CCRK) gene that is more methylated in the adult human cortex than in the chimpanzee cortex and, in addition, it exhibits considerable intraspecific variation both in humans and chimpanzees. The species-specifically methylated region (SMR) lies between the almost completely methylated 5' region and the completely demethylated 3' region of the presumed CCRK CGI promoter. It is part of an Alu-Sg1 repeat that has been integrated into the promoter region in a common ancestor of humans and New World monkeys. This SMR is relatively hypomethylated in the rhesus monkey cortex and more or less completely methylated in the baboon cortex, indicating extraordinary methylation dynamics during primate evolution. The mRNA expression level of CCRK has also changed during the course of primate evolution. CCRK is expressed at much higher levels in human and baboon cortices, which display an average SMR methylation of 70% and 100%, respectively, than in chimpanzee and rhesus macaque cortices with an average SMR methylation of 35% and 40%, respectively. The observed evolutionary dynamics suggests a possibility that CCRK has been important for evolution of the primate brain.",2009,26,1379-1389,10.1093/molbev/msp046
