Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
1,Y,"Agrelius, T., J. L. Dudycha and J. T. Morris","Global DNA cytosine methylation variation in Spartina alterniflora at North Inlet, SC",PLOS ONE,2018,13,e0203230,10.1371/journal.pone.0203230
2,Y,"Ahn, J., S. B. Franklin and V. Douhovnikoff",Epigenetic variation in clonal stands of aspen,FOLIA GEOBOTANICA,2017,52,443-449,10.1007/s12224-017-9308-x
3,Y,"Ali, M., K. Sugimoto, A. Ramadan and G.-i. Arimura",Memory of plant communications for priming anti-herbivore responses,SCIENTIFIC REPORTS,2013,3,1872,10.1038/srep01872
4,N,"Jo, Shin-Sang; Choi, Sun Shim",Analysis of the Functional Relevance of Epigenetic Chromatin Marks in the First Intron Associated with Specific Gene Expression Patterns,GENOME BIOLOGY AND EVOLUTION,2019,11,786-797,10.1093/gbe/evz033
5,N,"Kabanov, I.N.; Mavropulo-Stolyarenko, G.R.; Tishchenko, L.I.",Changes in Gene Expression and DNA Methylation of Evolutionarily Young AluY Repeats during Apoptosis of Human K562 Erythro-Myeloblastic Leukemia Cells,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,2018,54,30-42,10.1134/S0022093018010040
6,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",Individual vaciation in size and fecundity is correlated with differences in global DNA Cytosine methylation in the perennial herb Helleborus foetidus (Ranunculaceae),AMERICAN JOURNAL OF BOTANY,2014,101,1309-1313,10.3732/ajb.1400126
7,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",MSAP markers and global cytosine methylation in plants: a literature survey and comparative analysis for a wild-growing species,MOLECULAR ECOLOGY RESOURCES,2016,16,80-90,10.1111/1755-0998.12426
8,Y,"Alonso, C., R. Perez, P. Bazaga, M. Medrano and C. M. Herrera",Within-plant variation in seed size and inflorescence fecundity is associated with epigenetic mosaicism in the shrub Lavandula latifolia (Lamiaceae),ANNALS OF BOTANY,2018,121,153-160,10.1093/aob/mcx140
9,N,"Mendizabal, Isabel; Shi, Lei; Keller, Thomas E.; Konopka, Genevieve; Preuss, Todd M.; Hsieh, Tzung-Fu; Hu, Enzhi; Zhang, Zhe; Su, Bing; Yi, Soojin V.",Comparative Methylome Analyses Identify Epigenetic Regulatory Loci of Human Brain Evolution,MOLECULAR BIOLOGY AND EVOLUTION,2016,33,2947-2959,10.1093/molbev/msw176
10,N,"Manzi, Giorgio; Vienna, Alessandro; Hauser, Gertrud",Developmental stress and cranial hypostosis by epigenetic trait occurrence and distribution: An exploratory study on the Italian Neandertals,JOURNAL OF HUMAN EVOLUTION,1996,30,511-527,10.1006/jhev.1996.0040
11,N,"Farcas, Ruxandra; Schneider, Eberhard; Frauenknecht, Katrin; Kondova, Ivanela; Bontrop, Ronald; Bohl, Juergen; Navarro, Bianca; Metzler, Markus; Zischler, Hans; Zechner, Ulrich; Daser, Angelika; Haaf, Thomas",Differences in DNA Methylation Patterns and Expression of the CCRK Gene in Human and Nonhuman Primate Cortices,MOLECULAR BIOLOGY AND EVOLUTION,2009,26,1379-1389,10.1093/molbev/msp046
12,N,"Non, Amy L.; Hollister, Brittany M.; Humphreys, Kathryn L.; Childebayeva, Ainash; Esteves, Kyle; Zeanah, Charles H.; Fox, Nathan A.; Nelson, Charles A.; Drury, Stacy S.",DNA methylation at stress-related genes is associated with exposure to early life institutionalization,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2016,161,84-93,10.1002/ajpa.23010
13,N,"Clukay, Christopher J.; Hughes, David A.; Rodney, Nicole C.; Kertes, Darlene A.; Mulligan, Connie J.",DNA methylation of methylation complex genes in relation to stress and genome-wide methylation in mother-newborn dyads,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2018,165,173-182,10.1002/ajpa.23341
14,N,"Giuliani, Cristina; Sazzini, Marco; Bacalini, Maria Giulia; Pirazzini, Chiara; Marasco, Elena; Fontanesi, Elisa; Franceschi, Claudio; Luiselli, Donata; Garagnani, Paolo","Epigenetic Variability across Human Populations: A Focus on DNA Methylation Profiles of the KRTCAP3, MAD1L1 and BRSK2 Genes",GENOME BIOLOGY AND EVOLUTION,2016,8,2760-2773,10.1093/gbe/evw186
15,N,"Rademacher, Katrin; Schroder, Christopher; Kanber, Deniz; Klein-Hitpass; Ludger; Wallner, Stefan; Zeschnigk, Michael; Horsthemke, Bernhard",Evolutionary Origin and Methylation Status of Human Intronic CpG Islands that Are Not Present in Mouse,GENOME BIOLOGY AND EVOLUTION,2014,6,1579-1588,10.1093/gbe/evu125
16,N,"Hanghoj, Kristian; Seguin-Orlando, Andaine; Schubert, Mikkel; Madsen, Tobias; Pedersen, Jakob Skou; Willerslev, Eske; Orlando, Ludovic","Fast, Accurate and Automatic Ancient Nucleosome and Methylation Maps with epiPALEOMIX",MOLECULAR BIOLOGY AND EVOLUTION,2016,33,3284-3298,10.1093/molbev/msw184
17,N,"McDade, Thomas W.; Ryan, Calen P.; Jones, Meaghan J.; Hoke, Morgan K.; Borja, Judith; Miller, Gregory E.; Kuzawa, Christopher W.; Kobor, Michael S.",Genome-wide analysis of DNA methylation in relation to socioeconomic status during development and early adulthood,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2019,169,11-Mar,10.1002/ajpa.23800
18,N,"Wang, Jinkai; Cao, Xiangyu; Zhang, Yanfeng; Su, Bing",Genome-wide DNA methylation analyses in the brain reveal four differentially methylated regions between humans and non-human primates,BMC EVOLUTIONARY BIOLOGY,2012,12,144,10.1186/1471-2148-12-144
19,N,"Phetliap, Witchaya; Geater, Alan; Rozek, Laura S.; Oshikawa, Shoko; Helmick, Katherine; Rentschler, Katie; Kojo, Yasuko; Thaicharoen, Siriluck",Global DNA methylation (LINE-1) associated with exposure to arsenic-contaminated environment and with type of arsenical skin lesions in Thailand,HUMAN AND ECOLOGICAL RISK ASSESSMENT,2019,25,688-705,10.1080/10807039.2018.1448968
20,N,"Chuang, Trees-Juen; Chiang, Tai-Wei","Impacts of Pretranscriptional DNA Methylation, Transcriptional Transcription Factor, and Posttranscriptional microRNA Regulations on Protein Evolutionary Rate",GENOME BIOLOGY AND EVOLUTION,2014,6,1530-1541,10.1093/gbe/evu124
21,N,"Giuliani, Cristina; Cilli, Elisabetta; Bacalini, Maria Giulia; Pirazzini Chiara; Sazzini, Marco; Gruppioni, Giorgio; Franceschi, Claudio; Garagnani, Paolo; Luiselli, Donata",Inferring chronological age from DNA methylation patterns of human teeth,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2016,159,585-595,10.1002/ajpa.22921
22,N,"Roudbar, Mahmous Amiri; Mohammadabadi, Mohammad Reza; Mehrgardi, Ahmad Ayatollahi; Abdollahi-Arpanahi, Rostam; Momen, Mehdi; Morota, Gota; Lopes, Fernando Brito; Gianola, Daniel; Rosa, Guilherme J.M.",Integration of single nucleotide variants and whole-genome DNA methylation profiles for classification of rheumatoid arthritis cases from controls,HEREDITY,2020,124,658-674,10.1038/s41437-020-0301-4
23,N,"Zeng, J.; Yi, S.","Specific Modifications of Histone Tails, but Not DNA Methylation, Mirror the Temporal Variation of Mammalian Recombination Hotspots",GENOME BIOLOGY AND EVOLUTION,2014,6,2918-2929,10.1093/gbe/evu230
24,N,"Carja, Oana; MacIsaac, Julia L.; Mah, Sarah M.; Henn, Brenna M.; Kobor, Michael S.; Feldman, Marcus W.; Fraser, Hunter B.",Worldwide patterns of human epigenetic variation,NATURE ECOLOGY & EVOLUTION,2017,1,1577-1583,10.1038/s41559-017-0299-z
25,N,"Matsuura, Kenji; Mizumoto, Nobuaki; Kobayashi, Kazuya; Nozaki, Tomonari; Fujita, Tadahide; Yashiro, Toshihisa; Fuchikawa, Taro; Mitaka, Yuki; Vargo, Edward L.",A Genomic Imprinting Model of Termite Caste Determination: Not Genetic but Epigenetic Inheritance Influences Offspring Caste Fate,AMERICAN NATURALIST,2018,191,677-690,10.1086/697238
26,N,"Wang, Jun; Fan, Chuanzhu",A Neutrality Test for Detecting Selection on DNA Methylation Using Single Methylation Polymorphism Frequency Spectrum,GENOME BIOLOGY AND EVOLUTION,2015,7,154-171,10.1093/gbe/evu271
27,Y,"Bachere, E., A. Barranger, R. Bruno, J. Rouxel, D. Menard, D. Piquemal and F. Akcha",Parental diuron-exposure alters offspring transcriptome and fitness in Pacific oyster Crassostrea gigas,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2017,142,51-58,10.1016/j.ecoenv.2017.03.030
28,N,"Dodd, Richard S.; Douhovnikoff, Vladimir",Adjusting to Global Change through Clonal Growth and Epigenetic Variation,FRONTIERS IN ECOLOGY AND EVOLUTION,2016,4,86,10.3339/fevo.2016.00086
29,N,"Thieffry, Denis; Sanchez, Lucas",Alternative epigenetic states understood in terms of specific regulatory structures,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,2002,981,135-153,10.1111/j.1749-6632.2002.tb04916.x
30,N,"Caballero, Lorena; Benitez, Mariana; Alvarez-buylla, Elena R.; HernAndez, Sergio; Arzola, Alejandro V.; Cocho, Germinal",An Epigenetic Model for Pigment Patterning Based on Mechanical and Cellular Interactions,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2012,318,209-223,10.1002/jez.b.22007
31,N,"Qadri, Masroor; Nalli, Yedukondalu; Jain, Shreyans K.; Chaubey, Asha; Ali, Asif; Strobel, Gary A.; Vishwakarma, Ram A.; Riyaz-Ul-Hassan, Syed",An Insight into the Secondary Metabolism of Muscodor yucatanensis: Small-Molecule Epigenetic Modifiers Induce Expression of Secondary Metabolism-Related Genes and Production of New Metabolites in the Endophyte,MICROBIAL ECOLOGY,2017,73,954-965,10.1007/s00248-016-0901-y
32,N,"Baker, B. H., L. J. Berg and S. E. Sultan",Context-Dependent Developmental Effects of Parental Shade Versus Sun Are Mediated by DNA Methylation,FRONTIERS IN PLANT SCIENCE,2018,9,1251,10.3389/fpls.2018.01251
33,Y,"Baldanzi, S., R. Watson, C. D. McQuaid, G. Gouws and F. Porri",Epigenetic variation among natural populations of the South African sandhopper Talorchestia capensis,EVOLUTIONARY ECOLOGY,2017,31,77-91,10.1007/s10682-016-9877-9
34,N,"Gilmour, C.C.; Tuttle, J.H.; Means, J.C.",Anaerobic microbial methylation of inorganic tin in estuatine sediment slurries,MICROBIAL ECOLOGY,1987,14,233-242,10.1007/BF02012943
35,N,"Frohne, T.; Rinklebe, J.; Langer, U.; Du Laing, G.; Mothes, S.; Wennrich, R.",Biogeochemical factors affecting mercury methylation rate in two contaminated floodplain soils,BIOGEOSCIENCES,2012,9,493-507,10.5194/bg-9-493-2012
36,N,"Hager, Reinmar; Cheverud, James M.; Wolf, Jason B.",Change in maternal environment induced by cross-fostering alters genetic and epigenetic effects on complex traits in mice,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2009,276,2949-2954,10.1098/rspb.2009.0515
37,N,"Wang, Bin; Waters, Amanda L.; Sims, James W.; Fullmer, Alexis; Ellison, Serena; Hamann, Mark T.",Complex Marine Natural Products as Potential Epigenetic and Production Regulators of Antibiotics from a Marine Pseudomonas aeruginosa,MICROBIAL ECOLOGY,2013,65,1068-1075,10.1007/s00248-013-0213-4
38,N,"Wang, Yong; Rocha, Eduardo, P.C; Leung, Frederick C.C.; Danchin, Antoine",Cytosine methylation is not the major factor inducing CpG dinucleotide deficiency in bacterial genomes,JOURNAL OF MOLECULAR EVOLUTION,2004,58,692-700,10.1007/s00239-004-2591-1
39,N,"McNamara, John M.; Dall, Sasha R.X.; Hammerstein, Peter; Leimar, Olof","Detection vs. selection: integration of genetic, epigenetic and environmental cues in fluctuating environments",ECOLOGY LETTERS,2016,19,1267-1276,10.1111/ele.12663
40,Y,"Bian, R., D. Nie, F. Xing, X. Zhou, Y. Gao, Z. Bai and B. Liu",Adaptational significance of variations in DNA methylation in clonal plant Hierochloe glabra (Poaceae) in heterogeneous habitats,AUSTRAILIAN JOURNAL OF BOTANY,2013,61,274-282,10.1071/BT12242 
41,Y,"Biergans, S. D., C. Claudianos, J. Reinhard and C. G. Galizia",DNA Methylation Adjusts the Specificity of Memories Depending on the Learning Context and Promotes Relearning in Honeybees,FRONTIERS IN MOLECULAR NEUROSCIENCE,2016,9,82,10.3389/fnmol.2016.00082
42,N,"Uchida, Katsuhisa; Murakami, Yasunori; Kuraku, Shigehiro; Hirano, Shigeki; Kuratani, Shigeru",Development of the adenohypophysis in the lamprey: Evolution of epigenetic patterning programs in organogenesis,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2003,300B,32-47,10.1002/jez.b.00044
43,N,"Gliboff, Sander",Did Paul Kammerer Discover Epigenetic Inheritance? No and Why Not,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2010,314B,616-624,10.1002/jez.b.21374
44,N,"Zechner, U.; Shi, W.; Hemberger, M.; Himmelbauer, H.; Otto, S.; Orth, A.; Kalscheuer, V.; Fischer, U.; Elango, R.; Reis, A.; Vogel, W.; Ropers, H.; Ruschendorf, F.; Fundele, R.",Divergent genetic and epigenetic post-zygotic isolation mechanisms in Mus and Peromyscus,JOURNAL OF EVOLUTIONARY BIOLOGY,2004,17,453-460,10.1046/j.1420-9101.2003.00656.x
45,N,"Xia, Xuhua",DNA methylation and mycoplasma genomes,JOURNAL OF MOLECULAR EVOLUTION,2003,57,S21-S28,10.1007/s00239-003-0003-6
46,N,"Wu, Xia; Hu, Shuxiang; Wang, Lingling; Li, Yan; yu, Haiquan","Dynamic changes of histone acetylation and methylation in bovine oocytes, zygotes, and preimplantation embryos",JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2020,334,245-256,10.1002/jez.b.22943
47,N,"Wang, C.Y.; Cui, J.T.; Lu, Z.L.; Ma, X.L.; Wang, J.H.; Sun, Y.C. ",Effects of aroclor 1254 on the DNA methylation of imprinted genes in the adult mouse sperm,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,15,999-1012,10.15666/aeer/1503_9991012
